# DCPS_WTU_CBA_2023-2028.pdf — Salary Schedule ‐ 10 Month (FY 2027)
# population: 10-month certified teachers | is_teacher_schedule: True
# validation_warnings: none | audit confirmed
step,Step 1,Step 2,Step 3,Step 4,Step 5,Step 6,Step 7,Step 8,Step 9,Step 10,Step 11,Step 12-15,Step 16,17-18 Yrs Service,19-20 Yrs Service,21+ Yrs Service
Bachelors,68577,68813,70224,72817,75385,77971,81256,84516,87799,91054,94326,100879,108740,,,
Bachelors + 15,70862,71982,73461,76039,78619,81208,84487,87762,91030,94311,97566,104133,115246,,,
Bachelors + 30/Masters,73149,74835,78104,81375,84639,87922,91985,96030,100102,104148,108224,116335,126892,128349,130776,134176
Masters + 30,75436,78104,81375,84639,87922,91194,95244,99316,103369,107418,111468,119602,130229,131683,134112,137512
Masters + 60/PhD,80005,81375,84639,87922,91194,92616,98523,102589,106642,110703,114745,123229,134478,135932,138362,141761
