"# Cleveland_Teachers_Union_Contract_2021-2024.pdf — SENIOR HIGH AND MIDDLE SCHOOL POSITIONS (Effective July 1, 2021)"
# population: Senior High and Middle School | is_teacher_schedule: False
"# validation_warnings: duplicate step_labels: ['Dept. Chair,', 'Guidance'] | audit confirmed"
"# MANUAL REVIEW RECOMMENDED: extracted from page image (not machine-readable text) — verify values, column names, and row counts against the original PDF"
step,"2021-2022 Effective July 1, 2021","2022-2023 Effective July 1, 2022","2023-2024 Effective July 1, 2023"
"Dept. Chair,",1159.78,1194.57,3456.28
Guidance,1596.50,1644.40,1677.28
Guidance,1596.50,1644.40,1677.28
"Dept. Chair,",1159.78,1194.57,3456.28
