# Final_2014-2017_UTLA_Collective_Bargaining_Agreement.pdf — Employees Serving in place of Development Center/Early Education Center Salary Table employees (2015-2016)
# population: Day-to-Day Substitutes serving in place of Development Center/Early Education Center Salary Table employees | is_teacher_schedule: False
# validation_warnings: none | audit corrected this table
"# MANUAL REVIEW RECOMMENDED: extracted from page image (not machine-readable text) — verify values, column names, and row counts against the original PDF"
step,Rate
Maximum Rate,163.84
(with accrual rate of .11364 after 35 full-time days of service retroactive to the beginning of the school year),182.46
