"# X_DCPS_2017_-_2019_tentative.pdf — Salary Schedule - (12 Month) - CBA: MAA, SVC: ""Q"" (2017-2019)"
"# population: 12-Month (MAA, SVC Q) | is_teacher_schedule: True"
# validation_warnings: none | audit confirmed
step,Step 1,Step 2,Step 3,Step 4,Step 5,Step 6,Step 7,Step 8,Step 9,Step 10,Step 11,Step 12-15,Step 16,17-18 Yrs Service,19-20 Yrs Service,21+ Yrs Service
Bachelors,63521,63716,64893,67048,69187,71341,74075,76787,79519,82230,84954,90409,96954,0,0,0
Bachelors + 15,65424,66356,67588,69732,71881,74036,76764,79489,82212,84942,87651,93117,102369,0,0,0
Bachelors + 30/Masters,67324,68719,71451,74175,76891,79623,82988,86372,89764,93132,95635,103274,112062,113201,115099,117755
Masters + 30,69230,71451,74175,76891,79623,82347,85719,89107,92484,95852,99223,105995,114841,115979,117877,120534
Masters + 60/PhD,73033,74175,76891,79623,82347,85076,88449,91833,95206,98587,101950,109014,118375,119514,121412,124068
