time	elapsed_min	concurrency	active	done	queued
16:47:51	0.0	10	10	0	0
16:48:21	0.5	10	10	0	0
16:48:51	1.0	10	10	0	0
16:49:21	1.5	10	10	0	0
16:49:51	2.0	10	10	0	0
16:50:21	2.5	10	10	0	0
16:50:51	3.0	10	10	0	0
16:51:21	3.5	10	10	0	0
16:51:51	4.0	10	10	0	0
16:52:21	4.5	10	10	0	0
16:52:52	5.0	10	10	0	0
16:53:22	5.5	10	10	0	0
16:53:52	6.0	10	10	0	0
16:54:22	6.5	10	10	0	0
16:54:52	7.0	10	10	0	0
16:55:22	7.5	10	10	0	0
16:55:52	8.0	10	10	0	0
16:56:22	8.5	10	10	0	0
16:56:52	9.0	10	10	0	0
16:57:22	9.5	10	10	0	0
16:57:52	10.0	10	10	0	0
16:58:22	10.5	10	10	0	0
16:58:52	11.0	10	10	0	0
16:59:22	11.5	10	10	0	0
16:59:52	12.0	10	10	0	0
17:00:22	12.5	10	10	0	0
17:00:52	13.0	10	10	0	0
17:01:22	13.5	10	10	0	0
17:01:52	14.0	10	10	0	0
17:02:22	14.5	10	10	0	0
17:02:52	15.0	10	10	0	0
17:03:22	15.5	10	10	0	0
17:03:52	16.0	10	10	0	0
17:04:22	16.5	10	10	0	0
17:04:52	17.0	10	10	0	0
17:05:22	17.5	10	10	0	0
17:05:52	18.0	10	10	0	0
17:06:22	18.5	10	10	0	0
17:06:52	19.0	10	10	0	0
17:07:22	19.5	10	10	0	0
17:07:52	20.0	10	10	0	0
17:08:22	20.5	10	10	0	0
17:08:52	21.0	10	10	0	0
17:09:22	21.5	10	10	0	0
17:09:53	22.0	10	10	0	0
17:10:23	22.5	10	10	0	0
17:10:53	23.0	10	10	0	0
17:11:23	23.5	10	10	0	0
17:11:53	24.0	10	10	0	0
17:12:23	24.5	10	10	0	0
17:12:53	25.0	10	10	0	0
17:13:23	25.5	10	10	0	0
17:13:53	26.0	10	10	0	0
17:14:23	26.5	10	10	0	0
17:14:53	27.0	10	10	0	0
17:15:23	27.5	10	10	0	0
17:15:53	28.0	10	10	0	0
17:16:23	28.5	10	10	0	0
17:16:53	29.0	10	10	0	0
17:17:23	29.5	10	10	0	0
17:17:53	30.0	10	10	0	0
17:18:23	30.5	10	10	0	0
17:18:53	31.0	10	10	0	0
17:19:23	31.5	10	10	0	0
17:19:53	32.0	10	10	0	0
17:20:23	32.5	10	10	0	0
17:20:53	33.0	10	10	0	0
17:21:23	33.5	10	10	0	0
17:21:53	34.0	10	10	0	0
17:22:23	34.5	10	10	0	0
17:22:53	35.0	10	10	0	0
17:23:23	35.5	10	10	0	0
17:23:53	36.0	10	10	0	0
17:24:23	36.5	10	10	0	0
17:24:53	37.0	10	10	0	0
17:25:23	37.5	10	10	0	0
17:25:53	38.0	10	10	0	0
17:26:23	38.5	10	10	0	0
17:26:53	39.0	10	10	0	0
17:27:24	39.5	10	10	0	0
17:27:54	40.0	10	10	0	0
17:28:24	40.5	10	10	0	0
17:28:54	41.0	10	10	0	0
17:29:24	41.5	10	10	0	0
17:29:54	42.0	10	10	0	0
17:30:24	42.5	10	10	0	0
17:30:54	43.0	10	10	0	0
17:31:24	43.5	10	10	0	0
17:31:54	44.0	10	10	0	0
17:32:24	44.5	10	10	0	0
17:32:54	45.0	10	10	0	0
17:33:24	45.5	10	10	0	0
17:33:54	46.0	10	10	0	0
17:34:24	46.5	10	10	0	0
17:34:54	47.0	10	10	0	0
17:35:24	47.5	10	10	0	0
17:35:54	48.0	10	10	0	0
17:36:24	48.5	10	10	0	0
17:36:54	49.0	10	10	0	0
17:37:24	49.5	10	10	0	0
17:37:54	50.0	10	10	0	0
17:38:24	50.5	10	10	0	0
17:38:54	51.1	10	10	0	0
17:39:24	51.6	10	10	0	0
17:39:54	52.1	10	10	0	0
17:40:24	52.6	10	10	0	0
17:40:54	53.1	10	10	0	0
17:41:24	53.6	10	10	0	0
17:41:54	54.1	10	10	0	0
17:42:24	54.6	10	10	0	0
17:42:54	55.1	10	10	0	0
17:43:24	55.6	10	10	0	0
17:43:54	56.1	10	10	0	0
17:44:24	56.6	10	10	0	0
17:44:55	57.1	10	10	0	0
17:45:25	57.6	10	10	0	0
17:45:55	58.1	10	10	0	0
17:46:25	58.6	10	10	0	0
17:46:55	59.1	10	10	0	0
17:47:25	59.6	10	10	0	0
17:47:55	60.1	10	10	0	0
17:48:25	60.6	10	10	0	0
17:48:55	61.1	10	10	0	0
17:49:25	61.6	10	10	0	0
17:49:55	62.1	10	10	0	0
17:50:25	62.6	10	10	0	0
17:50:55	63.1	10	10	0	0
17:51:25	63.6	10	10	0	0
17:51:55	64.1	10	10	0	0
17:52:25	64.6	10	10	0	0
17:52:55	65.1	10	10	0	0
17:53:25	65.6	10	10	0	0
17:53:55	66.1	10	10	0	0
17:54:25	66.6	10	10	0	0
17:54:55	67.1	10	10	0	0
17:55:25	67.6	10	10	0	0
17:55:55	68.1	10	10	0	0
17:56:25	68.6	10	10	0	0
17:56:55	69.1	10	10	0	0
17:57:25	69.6	10	10	0	0
17:57:55	70.1	10	10	0	0
17:58:25	70.6	10	10	0	0
17:58:55	71.1	10	10	0	0
17:59:25	71.6	10	10	0	0
17:59:55	72.1	10	10	0	0
18:00:25	72.6	10	10	0	0
18:00:55	73.1	10	10	0	0
18:01:26	73.6	10	10	0	0
18:01:56	74.1	10	10	0	0
18:02:26	74.6	10	10	0	0
18:02:56	75.1	10	10	0	0
18:03:26	75.6	10	10	0	0
18:03:56	76.1	10	10	0	0
18:04:26	76.6	10	10	0	0
18:04:56	77.1	10	10	0	0
18:05:26	77.6	10	10	0	0
18:05:56	78.1	10	10	0	0
18:06:26	78.6	10	10	0	0
18:06:56	79.1	10	10	0	0
18:07:26	79.6	10	10	0	0
18:07:56	80.1	10	10	0	0
18:08:26	80.6	10	10	0	0
18:08:56	81.1	10	10	0	0
18:09:26	81.6	10	10	0	0
18:09:56	82.1	10	10	0	0
18:10:26	82.6	10	10	0	0
18:10:56	83.1	10	10	0	0
18:11:26	83.6	10	10	0	0
18:11:56	84.1	10	10	0	0
18:12:26	84.6	10	10	0	0
18:12:56	85.1	10	10	0	0
18:13:26	85.6	10	10	0	0
18:13:56	86.1	10	10	0	0
18:14:26	86.6	10	10	0	0
18:14:56	87.1	10	10	0	0
18:15:26	87.6	10	10	0	0
18:15:56	88.1	10	10	0	0
18:16:26	88.6	10	10	0	0
18:16:56	89.1	10	10	0	0
18:17:26	89.6	10	10	0	0
18:17:57	90.1	10	10	0	0
18:18:27	90.6	10	10	0	0
18:18:57	91.1	10	10	0	0
